  0.17690424E+01 -0.14469998E+02
  0.17737417E+01 -0.14469040E+02
  0.17784410E+01 -0.14467949E+02
  0.17831403E+01 -0.14466725E+02
  0.17878397E+01 -0.14465367E+02
  0.17925390E+01 -0.14463875E+02
  0.17972383E+01 -0.14462247E+02
  0.18019377E+01 -0.14460483E+02
  0.18066370E+01 -0.14458583E+02
  0.18113363E+01 -0.14456546E+02
  0.18160356E+01 -0.14454372E+02
  0.18207350E+01 -0.14452061E+02
  0.18254343E+01 -0.14449612E+02
  0.18301336E+01 -0.14447027E+02
  0.18348329E+01 -0.14444303E+02
  0.18395323E+01 -0.14441443E+02
  0.18442316E+01 -0.14438446E+02
  0.18489309E+01 -0.14435313E+02
  0.18536302E+01 -0.14432045E+02
  0.18583296E+01 -0.14428641E+02
  0.18630289E+01 -0.14425103E+02
  0.18677282E+01 -0.14421431E+02
  0.18724275E+01 -0.14417627E+02
  0.18771269E+01 -0.14413691E+02
  0.18818262E+01 -0.14409624E+02
  0.18865255E+01 -0.14405429E+02
  0.18912249E+01 -0.14401105E+02
  0.18959242E+01 -0.14396654E+02
  0.19006235E+01 -0.14392078E+02
  0.19053228E+01 -0.14387379E+02
  0.19100222E+01 -0.14382558E+02
  0.19147215E+01 -0.14377618E+02
  0.19194208E+01 -0.14372560E+02
  0.19241201E+01 -0.14367389E+02
  0.19288195E+01 -0.14362107E+02
  0.19335188E+01 -0.14356718E+02
  0.19382181E+01 -0.14351227E+02
  0.19429174E+01 -0.14345638E+02
  0.19476168E+01 -0.14339958E+02
  0.19523161E+01 -0.14334189E+02
  0.19570154E+01 -0.14328336E+02
  0.19617147E+01 -0.14322396E+02
  0.19664141E+01 -0.14316367E+02
  0.19711134E+01 -0.14310245E+02
  0.19758127E+01 -0.14304023E+02
  0.19805121E+01 -0.14297698E+02
  0.19852114E+01 -0.14291265E+02
  0.19899107E+01 -0.14284722E+02
  0.19946100E+01 -0.14278068E+02
  0.19993094E+01 -0.14271300E+02
  0.20040087E+01 -0.14264418E+02
  0.20087080E+01 -0.14257422E+02
  0.20134073E+01 -0.14250312E+02
  0.20181067E+01 -0.14243088E+02
  0.20228060E+01 -0.14235750E+02
  0.20275053E+01 -0.14228301E+02
  0.20322046E+01 -0.14220740E+02
  0.20369040E+01 -0.14213070E+02
  0.20416033E+01 -0.14205292E+02
  0.20463026E+01 -0.14197407E+02
  0.20510020E+01 -0.14189418E+02
  0.20557013E+01 -0.14181326E+02
  0.20604006E+01 -0.14173135E+02
  0.20650999E+01 -0.14164847E+02
  0.20697993E+01 -0.14156464E+02
  0.20744986E+01 -0.14147989E+02
  0.20791979E+01 -0.14139427E+02
  0.20838972E+01 -0.14130779E+02
  0.20885966E+01 -0.14122049E+02
  0.20932959E+01 -0.14113241E+02
  0.20979952E+01 -0.14104358E+02
  0.21026945E+01 -0.14095403E+02
  0.21073939E+01 -0.14086381E+02
  0.21120932E+01 -0.14077293E+02
  0.21167925E+01 -0.14068144E+02
  0.21214918E+01 -0.14058935E+02
  0.21261912E+01 -0.14049670E+02
  0.21308905E+01 -0.14040349E+02
  0.21355898E+01 -0.14030976E+02
  0.21402892E+01 -0.14021552E+02
  0.21449885E+01 -0.14012079E+02
  0.21496878E+01 -0.14002558E+02
  0.21543871E+01 -0.13992991E+02
  0.21590865E+01 -0.13983379E+02
  0.21637858E+01 -0.13973725E+02
  0.21684851E+01 -0.13964029E+02
  0.21731844E+01 -0.13954295E+02
  0.21778838E+01 -0.13944524E+02
  0.21825831E+01 -0.13934718E+02
  0.21872824E+01 -0.13924880E+02
  0.21919817E+01 -0.13915012E+02
  0.21966811E+01 -0.13905117E+02
  0.22013804E+01 -0.13895198E+02
  0.22060797E+01 -0.13885257E+02
  0.22107790E+01 -0.13875299E+02
  0.22154784E+01 -0.13865327E+02
  0.22201777E+01 -0.13855344E+02
  0.22248770E+01 -0.13845354E+02
  0.22295764E+01 -0.13835362E+02
  0.22342757E+01 -0.13825370E+02
  0.22389750E+01 -0.13815384E+02
  0.22436743E+01 -0.13805408E+02
  0.22483737E+01 -0.13795447E+02
  0.22530730E+01 -0.13785506E+02
  0.22577723E+01 -0.13775589E+02
  0.22624716E+01 -0.13765702E+02
  0.22671710E+01 -0.13755850E+02
  0.22718703E+01 -0.13746037E+02
  0.22765696E+01 -0.13736270E+02
  0.22812689E+01 -0.13726554E+02
  0.22859683E+01 -0.13716893E+02
  0.22906676E+01 -0.13707293E+02
  0.22953669E+01 -0.13697760E+02
  0.23000662E+01 -0.13688297E+02
  0.23047656E+01 -0.13678911E+02
  0.23094649E+01 -0.13669605E+02
  0.23141642E+01 -0.13660385E+02
  0.23188636E+01 -0.13651256E+02
  0.23235629E+01 -0.13642221E+02
  0.23282622E+01 -0.13633287E+02
  0.23329615E+01 -0.13624457E+02
  0.23376609E+01 -0.13615736E+02
  0.23423602E+01 -0.13607129E+02
  0.23470595E+01 -0.13598642E+02
  0.23517588E+01 -0.13590278E+02
  0.23564582E+01 -0.13582043E+02
  0.23611575E+01 -0.13573943E+02
